Scheme Name,Details,Benefits,Eligibility,Application Process,Documents Required
Educational Assistance to Children of Registered Worker (11th/12th),Financial assistance scheme by MBOCWW for children of registered construction workers studying in 11th/12th standard.,"₹10,000 per year per child (up to two children per worker, also extends to wife of registered male worker).",Parents/guardians must be registered under MBOCWW; child/wife must be studying in 11th or 12th standard.,"Offline: Download application from MBOCWW website, fill mandatory fields, attach documents, submit to Labor Commissioner/Government Labor Officer, get acknowledgment.",Passport-size Photo; Aadhaar Card; MBOCWW Identity Card; Bank Passbook; Marksheet for 11th or 12th standard; Proof of Residence (Aadhaar/Passport/Driving Licence/Ration Sheet/Electricity Bill/Gram Panchayat Certificate).
Educational Assistance for Medical and Engineering Courses,Financial aid scheme by MBOCWW for children/spouse of registered construction workers pursuing medical or engineering degrees.,"Medical Degree: ₹1,00,000; Engineering Degree: ₹60,000; Maximum two children or spouse eligible.",Parents/guardians registered under MBOCWW; student enrolled in government-recognized medical/engineering institution; max two children/spouse per worker.,"Offline: Download application from MBOCWW website, fill mandatory fields, attach documents, submit to Labor Commissioner/Government Labor Officer, get acknowledgment.",Passport-size Photo; Aadhaar Card; MBOCWW Identity Card; Bank Passbook; Previous academic level Marksheet/Certificate; Bonafide/Acknowledgment for current academic year; Proof of Residence.
Educational Assistance for Degree Course,Financial assistance scheme by MBOCWW for children/spouse of registered construction workers pursuing undergraduate degree courses.,"₹20,000 per year; Maximum two children and spouse eligible.",Parents/guardians registered under MBOCWW; student enrolled in 1st–4th year degree course; benefit applies to max two children/spouse.,"Offline: Download application from MBOCWW website, fill mandatory fields, attach documents, submit to Labor Commissioner/Government Labor Officer, get acknowledgment.",Passport-size Photo; Aadhaar Card; MBOCWW Identity Card; Bank Passbook; Previous academic level Marksheet/Certificate; Bonafide/Acknowledgment for current academic year; Proof of Residence.
Medical Assistance for Treatment of Critical Illness,Financial assistance scheme by MBOCWW for registered construction workers and family members undergoing treatment for serious/critical illnesses.,"₹1,00,000 per eligible worker/family member.","Worker must be engaged in construction, registered under MBOCWW; worker/family member must require treatment for serious illness.","Offline: Download application from MBOCWW website, fill mandatory fields, attach documents, submit to Labor Commissioner/Government Labor Officer, get acknowledgment.",Passport-size Photo; Aadhaar Card; MBOCWW Identity Card; Bank Passbook; Medical Certificate; Medical Treatment Papers; Proof of Residence (Aadhaar/Passport/Driving Licence/Ration Sheet/Electricity Bill/Gram Panchayat Certificate).
Educational Assistance to 10th to 12th Students,Financial assistance scheme by MBOCWW for children of registered construction workers scoring 50% or more in 10th or 12th standard exams.,"₹10,000 per child for scoring ≥50% in 10th/12th exams.",Parents/guardians registered under MBOCWW; child must have passed 10th/12th with ≥50% marks; only children/spouse of registered workers eligible.,"Offline: Download application from MBOCWW website, fill mandatory fields, attach documents, submit to Labor Commissioner/Government Labor Officer, get acknowledgment.",Passport-size Photo; Aadhaar Card; MBOCWW Identity Card; Bank Passbook; Marksheet (≥50% marks); Proof of Residence (Aadhaar/Passport/Driving Licence/Ration Sheet/Electricity Bill/Gram Panchayat Certificate).
"Training of Motor Driving to VJNT, SBC & OBC","Government scheme providing light/heavy motor driving and conductor training to needy Vimukta Jati, Nomadic Tribes, OBC & SBC youth, including lodging, boarding, license fees, and stipend.","Light Motor Driving: ₹4,264/40 days; Heavy Motor Driving: ₹4,960/40 days; Conductor: ₹1,728/8 days; Stipend: ₹300 (Driver), ₹150 (Conductor) if not local.","Applicant must belong to VJNT, OBC, or SBC; must meet Age, Education, and fitness requirements under Motor Vehicle Act.","Online via MahaDBT Portal: Register, login, link Aadhaar to bank, fill profile, select scheme, submit documents, get Application ID, track status.",Aadhaar Number; Proof of Identity; Proof of Age; Proof of Address; Maharashtra Domicile Certificate; Caste Certificate; Marksheet of latest qualification; Bank Account Details; Passport-sized Photograph.
LIDCOM 50% Subsidy Scheme,"Subsidy scheme by LIDCOM for Charmakar community to uplift economically weak individuals through loans, providing 50% subsidy up to ₹10,000.","50% of loan amount (max ₹50,000) as subsidy; bank interest as per existing rates.","Citizen of India; permanent Maharashtra resident; aged 18–50; belongs to Charmakar community; annual family income ≤ ₹1,00,000; knowledge of business applied for.","Offline: Obtain application from LIDCOM District Office, fill mandatory fields, attach documents, submit to District Office, get acknowledgment.",Aadhaar Card; Proof of Age; 2 Passport-size Photos; Maharashtra Domicile Certificate; Loan-related proofs; Income Certificate; Caste Certificate; Bank Account Details; Any other document required by LIDCOM District Office.
State Pre-metric Scholarship for Disabled,"Scholarship by Dept. of Social Justice & Special Assistance, Maharashtra, to encourage education for students with disability.",Class 1–4: ₹100/month; Class 5–7: ₹150/month; Class 8–10: ₹200/month; Mentally Retarded/Ill (≤18 yrs): ₹150/month; Disabled trainees in workshop: ₹300/month.,Citizen of India; Maharashtra resident; enrolled in government-recognized school; Person with Disability ≥40%; must not have failed last qualifying exam; pursuing Class 1–10 or equivalent pre-metric qualification.,"Offline: Request hard copy from school/college, fill mandatory fields, attach documents, submit to school/college authority, get acknowledgment.",Aadhaar Card; 2 Passport-size Photos; Maharashtra Domicile Certificate; Disability Certificate; Bank Account Details; Proof of latest educational qualification; Bonafide Certificate; Proof of pre-matric pursuance; Any other document required by school/college or District Social Welfare Office.
Matrimonial Incentives,"Scheme by Dept. of Social Justice & Special Assistance, Maharashtra, providing financial assistance to PwDs marrying non-disabled persons.","Up to ₹50,000: ₹25,000 as saving certificate; ₹20,000 cash; ₹4,500 household utility; ₹500 for attending program.",Citizen of India; Maharashtra resident; Person with Disability ≥40%; married to non-disabled person.,"Offline: Visit District Social Welfare Office, get application form, fill mandatory fields, attach documents, submit, obtain acknowledgment.",Aadhaar Card; 2 Passport-size Photos; Maharashtra Domicile Certificate; Disability Certificate; Bank Account Details; Proof of Age; Proof of Marriage; Any other document required by District Social Welfare Office.
Vasantrao Naik Merit Awards,Merit award by Government of Maharashtra to motivate VJNT students for higher education who came first in State or Board Exams (10th/12th).,"State First: ₹1,00,000 + Trophy + Certificate; Board First: ₹51,000 + Trophy + Certificate; Separate awards for Boy and Girl.",Student should belong to VJNT category; should be First in State or First in Board Exam; First Boy and Girl eligible.,"Online via official portal: Register, login, link Aadhaar to bank, fill profile, select scheme, submit documents, get Application ID, track status.",Aadhaar Number; Maharashtra Domicile Certificate; VJNT/SBC Caste Certificate; Family Income Certificate; Marksheet of 10th/12th Standard.
Tuition & Examination Fees for VJNT Students,"Reimbursement of tuition, admission, term, library, laboratory, gymkhana, and examination fees for Post Matric students belonging to VJNT.",All seven fees reimbursed to concerned college/institution.,"Student must belong to VJNT; parents' income between ₹1,00,000 – ₹4,50,000; students with one failure and not covered under Govt. of India scholarship are eligible.","Online via official portal: Register, login, create profile, apply for eligible schemes, application forwarded by college to Asstt. Commissioner Social Welfare.",Aadhaar Number; Maharashtra Domicile Certificate; VJNT/SBC Caste Certificate; Family Income Certificate; Marksheet of Latest Qualification; Bank Account Details; Passport-sized Photograph.
Nanaji Deshmukh Krishi Sanjivani Prakalp,"Project by Agriculture Dept., Maharashtra & World Bank to promote climate-resilient agriculture, drought-proofing, water conservation, and adoption of modern techniques.","Back-ended subsidies for climate-resilient initiatives, protected cultivation, water conservation, seed production, support to FPOs/SHGs; funds disbursed via Aadhaar-linked DBT.","Farmers' producer companies, registered farmer groups/SHGs, eligible women/landless individuals; Loans > ₹20 lakh require approval; exclusion: landholding >5 ha.","Online via DBT portal: Registration, application, pre-sanction by Agriculture officer, work completion, payment request, approval, disbursement to Aadhaar-linked bank account.",Aadhaar Number; Land details (7/12 & 8A extracts); Caste Certificate (SC/ST if applicable); Landless certificate; Death certificate (widows); Divorce certificate (divorcee female).
Chief Minister Agriculture & Food Processing Scheme,"Promotes small and medium agro & food processing units, modern technology adoption, value addition, export promotion, skill development, and employment generation in rural areas.",30% subsidy for construction/machinery (max ₹50 lakh); subsidy paid in two installments post-completion and commercial production; loan 1.5x of subsidy.,"Beneficiary age >18, Aadhaar/PAN card, good CIBIL score, 7/12 & 8A certificate or lease documents.","Offline: Submit proposal with bank loan approval to District Superintendent Agriculture Officer, feasibility study, verification, in-principle approval, construction, completion, subsidy deposited in bank reserve fund.",Beneficiary Application (Annexure II); Bank Loan Sanction Letter; Bank Appraisal; 7/12 & 8A or Agreement; PAN & Aadhaar; Udyam Registration Certificate; Detailed Project Report; Flow chart of process; Notarized Agreement; Construction Blue Print; Construction Budget; Machinery Quotation; Feasibility Study Report; Recommendation Letter; Audit reports (for upgradation/expansion/modernization projects).
Bhausaheb Fundkar Falbag Lagvad Scheme,State-sponsored scheme to promote plantation of 16 perennial fruit crops with subsidy via DBT for farmers in Maharashtra.,"Subsidy for plantation activities: pit digging, grafting/seedlings, fertilizers, crop protection, gap filling; payment via DBT annually for three years.",Permanent resident of Maharashtra; Aadhaar; 7/12 & 8A certificate; institutional beneficiaries excluded.,"Online via Aaple Sarkar DBT portal: Register, login, complete profile, apply for scheme, pay fees to complete application.",Aadhaar Card; 7/12 Certificate; 8A Certificate; Caste Certificate (SC/ST if applicable); Self Declaration; Pre Sanction Letter; Invoice of Implement.
State Pre-Metric Scholarship for Disabled,"Scholarship by Dept. of Social Justice & Special Assistance, Maharashtra to encourage students with disability (SwDs) to pursue education; fully funded by Govt. of Maharashtra.",Class 1-4: ₹100/month; Class 5-7: ₹150/month; Class 8-10: ₹200/month; Mentally Retarded/Mentally Ill (up to 18 yrs): ₹150/month; Disabled trainees in workshops: ₹300/month.,Indian citizen; permanent resident of Maharashtra; student in Govt. recognized school; PwD with ≥40% disability; pursuing pre-metric qualification (Class 1-10); not failed previous exam.,"Offline: Obtain hard copy of application form from school/college, fill mandatory details, attach documents, submit to school/college authority, obtain acknowledgment.",Aadhaar Card; 2 Passport-sized photos (signed); Maharashtra Domicile Certificate; Disability Certificate; Bank Account details; Latest Educational Qualification proof; Bonafide Certificate; Proof of Pre-metric pursuance; Any other documents required by School/College/District Social Welfare Office.
Matrimonial Incentives for PwD,"Financial assistance scheme by Dept. of Social Justice & Special Assistance, Maharashtra to support marriage of PwD to non-disabled person; fully funded by Govt. of Maharashtra.","Financial assistance up to ₹50,000: ₹25,000 in saving certificate, ₹20,000 cash, ₹4,500 household utility, ₹500 for attending marriage incentive program.",Indian citizen; permanent resident of Maharashtra; PwD with ≥40% disability; married to non-disabled person.,"Offline: Obtain hard copy of application form from District Social Welfare Office, fill details, attach documents, submit to office, acquire acknowledgment.",Aadhaar Card; 2 Passport-sized photos (signed); Maharashtra Domicile Certificate; Disability Certificate; Bank Account details; Proof of Age; Proof of Marriage; Any other documents required by District Social Welfare Office.
Vasantrao Naik Merit Awards,Merit award by Govt. of Maharashtra to motivate VJNT students for higher education who came first in State or Board Exams (10th/12th).,"State First: ₹1,00,000 + Trophy + Certificate; Board First: ₹51,000 + Trophy + Certificate; Separate awards for Boy and Girl.",Student should belong to VJNT category; should be First in State or Board Exam; First Boy and Girl eligible.,"Online via official portal: Register, login, link Aadhaar to bank, fill profile, select scheme, submit documents, get Application ID, track status.",Aadhaar Number; Maharashtra Domicile Certificate; VJNT/SBC Caste Certificate; Family Income Certificate; Marksheet of 10th/12th Standard.
Tuition & Examination Fees for VJNT Students,"Reimbursement of tuition, admission, term, library, laboratory, gymkhana, and examination fees for Post Matric students belonging to VJNT.",All seven fees reimbursed to concerned college/institution.,"Student must belong to VJNT; parents' income between ₹1,00,000 – ₹4,50,000; students with one failure and not covered under Govt. of India scholarship are eligible.","Online via official portal: Register, login, create profile, apply for eligible schemes, application forwarded by college to Asstt. Commissioner Social Welfare.",Aadhaar Number; Maharashtra Domicile Certificate; VJNT/SBC Caste Certificate; Family Income Certificate; Marksheet of Latest Qualification; Bank Account Details; Passport-sized Photograph.
Nanaji Deshmukh Krishi Sanjivani Prakalp,"Project by Agriculture Dept., Maharashtra & World Bank to promote climate-resilient agriculture, drought-proofing, water conservation, and adoption of modern techniques.","Back-ended subsidies for climate-resilient initiatives, protected cultivation, water conservation, seed production, support to FPOs/SHGs; funds disbursed via Aadhaar-linked DBT.","Farmers' producer companies, registered farmer groups/SHGs, eligible women/landless individuals; Loans > ₹20 lakh require approval; exclusion: landholding >5 ha.","Online via DBT portal: Registration, application, pre-sanction by Agriculture officer, work completion, payment request, approval, disbursement to Aadhaar-linked bank account.",Aadhaar Number; Land details (7/12 & 8A extracts); Caste Certificate (SC/ST if applicable); Landless certificate; Death certificate (widows); Divorce certificate (divorcee female).
Chief Minister Agriculture and Food Processing Scheme,"State scheme to promote modern technology-based agro and food processing units, value addition, quality enhancement, export promotion, skill development, and employment generation; implemented since 2017-18, extended till 2026-27.",30% subsidy for construction of factories/machinery up to ₹50 lakh; Credit Linked Back Ended Subsidy in 2 instalments; loan amount ≥1.5 times subsidy.,Age >18; Aadhaar/PAN; Good Bank CIBIL Score; 7/12 & 8-A certificate or lease documents.,Offline: Submit proposal with bank loan approval to District Superintendent Agriculture Officer; pre-project feasibility study; District Project Implementation Committee approval; post-completion verification and subsidy release.,Beneficiary Application (Annexure II); Bank Loan Sanction Letter (Original); Bank Appraisal (Original); 7/12 & 8A or Agreement; PAN/Aadhaar; Enterprise Registration Certificate; DPR of project; Flowchart of process; Notarized Agreement (Annexure III); Construction Blue Print & Budget (Bank attested); Machinery Quotation (Bank attested); Pre-project feasibility study report (Annexure-V); Recommendation Letter (Annexure VI); Audit reports (if applicable).
Bhausaheb Fundkar Falbag Lagvad Scheme,"DBT-based subsidy scheme for plantation of 16 perennial fruit crops; launched by Agriculture Dept., Maharashtra (2018-19).","Subsidy for pit digging, planting grafts/seedlings, fertilizer application, crop protection, gap filling; DBT credited yearly.",Permanent resident of Maharashtra; Aadhaar; 7/12 & 8-A certificate; exclusions: institutional beneficiaries.,"Online via https://mahadbt.maharashtra.gov.in/: Register, login, complete profile (personal, address, land details), apply for implements with specifications, pay fees.","Aadhaar Card; 7/12 Certificate; 8-A Certificate; Caste Certificate (SC/ST, if applicable); Self Declaration; Pre Sanction Letter; Invoice of Implement."
Chief Minister Employment Generation Programme (CMEGP),"State scheme to support unemployed youth, special category, and women in setting up manufacturing, service, agro-based/primary agro processing, E-vehicle, or single-brand service ventures; launched 2019.","Subsidy depending on category and location: Urban General 15%, Rural General 25%, Special Category 25%-35%; beneficiary contribution 5%-10%; project cost: manufacturing ≤ ₹50 lakh, service/agro ≤ ₹20 lakh.",Age 18-45 (relaxation +5 years for SC/ST/Women/Differently Abled); unemployed youth; minimum education 7th pass (for projects >₹10 lakh) or 10th pass (for projects >₹25 lakh); male/female; marital status all; annual income: no restriction.,Online: Fill application on https://maha-cmegp.gov.in; District Scrutiny by DLSCC; approval by DLTFC; bank sanction and EDP training; subsidy disbursed after 3 years and timely repayment.,Passport size photo; Aadhaar; Domicile certificate; Educational certificate; Undertaking form; Project profile; Caste certificate (if applicable); Special category certificate (if applicable); PAN card; Population certificate (rural only); Bank clearance/approved certificate (if working capital zero for projects >₹5 lakh).
Swarnima,Loan scheme by Dept. of Social Justice & Special Assistance for OBC women to support self-employment and financial independence; jointly funded by National Backward Classes Finance & Development Corporation and State Corporation.,"Loan up to ₹5,00,000 per SHG project; ₹25,000 per beneficiary (up to 20 members); funding: 95% central, 5% state; interest 5% per annum; repayment up to 3 years.","Applicant must be OBC; domicile of Maharashtra; age 18-50; family annual income: rural ≤ ₹98,000, urban ≤ ₹1,20,000.",Offline: Visit District Office of Leather Industries Development Corporation of Maharashtra (LIDCOM); request hard copy application; fill details; attach documents; submit and get receipt.,Aadhaar Card; 2 Passport Sized Photos (signed); Domicile Certificate; Bank Account Details; Proof of Age; any other documents required by District Office.
Mukhyamantri - Majhi Ladki Bahin Yojana,"Women and Child Development Dept., Maharashtra scheme to provide economic support, health, and nutrition benefits to women (21-65 yrs) through DBT.","Financial assistance ₹1,500/month.","Female; Maharashtra resident; age 21-65; Aadhaar-linked bank account; family annual income ≤ ₹2,50,000; married/widowed/divorced/abandoned/destitute/unmarried woman in the family; exclusions: family income > ₹2.5 lakh, taxpayer, government employees, MPs/MLAs, four-wheeler owned.","Online: Register on official portal; login; fill Aadhaar, bank, permanent address; upload documents; submit and get application ID; track status online.","Photograph of Beneficiary; Aadhaar Card; Domicile Certificate (or alternate: Ration Card, Voter ID, Birth Cert, School Leaving Cert); Income Certificate (if White/No Ration Card); Marriage Certificate (if newly married); Bank Account details; Affirmation Letter."
Financial Assistance for Widow or Widower of Registered Construction Worker,Implemented by Maharashtra Building and Other Construction Workers Welfare Board. Provides financial support to widow or widower in case of death of registered construction worker during employment.,"Financial assistance of ₹24,000 per annum up to 5 years",Applicant should be widow or widower of deceased construction worker; deceased must be registered with MBOCWW,Offline: Download application form from MBOCWW website → Fill all mandatory fields → Submit to Labor Commissioner/Government Labor Officer → Get receipt/acknowledgment,"Passport-size Photo, Aadhaar Card, MBOCWW ID, Bank Passbook, Death Certificate, Proof of Residence (Aadhaar/Passport/Driving Licence/Ration Sheet/Electricity Bill/Gram Panchayat Certificate)"
National Family Benefit Scheme (Maharashtra),Social welfare scheme by Social Justice & Special Assistance Dept. Provides lump sum financial assistance to BPL family on death of primary breadwinner.,"One-time financial assistance of ₹20,000",Applicant must be resident of Maharashtra; family member or dependent of deceased breadwinner; family living BPL; deceased aged 18–59,Offline: Visit Collector/Tahsildar/Talathi → Request hard copy form → Fill and attach documents → Submit → Get receipt/acknowledgment,"Applicant ID (Aadhaar/Voter ID), Deceased ID (Aadhaar), Death Certificate, FIR Copy, Proof of Age of Deceased, BPL/Ration Card, Caste Certificate (if applicable), Address Proof, Bank Passbook, Any other required documents"
Financial Assistance to 75% or Permanent Disability,"Launched by MBOCWW, Labor Dept Maharashtra. Financial support for registered construction workers with 75% or more permanent disability.","Financial assistance of ₹2,00,000",Worker engaged in construction; registered under MBOCWW; has ≥75% permanent disability,Offline: Download application form from MBOCWW website → Fill → Submit to Labor Commissioner/Government Labor Officer → Get receipt/acknowledgment,"Passport-size Photo, Aadhaar Card, MBOCWW ID, Bank Passbook, Disability Certificate, Medical Treatment Payments, Proof of Residence (Aadhaar/Passport/Driving Licence/Ration Sheet/Electricity Bill/Gram Panchayat Certificate)"
Aam Aadmi Bima Yojana (Maharashtra),Centrally Sponsored Scheme by Social Justice & Special Assistance Dept. Provides insurance and scholarship benefits to landless rural laborers aged 18–59.,"Natural Death ₹30,000; Accidental Death ₹75,000; Permanent Total Disability ₹75,000; Loss of One/Two Eyes or Limbs ₹37,500–₹75,000; Scholarship ₹100/month per child (max 2)",Maharashtra resident; age 18–59; landless labourer; rural area; family owns no agricultural land; not covered under any other similar insurance scheme,Offline: Visit Collector/Tahsildar/Talathi → Request hard copy form → Fill and attach documents → Submit → Get receipt/acknowledgment,"Proof of Identity, Proof of Age, Address Proof, Certificate of Landlessness, Passport-Sized Photographs, Income Certificate, Application Form, Self-Attestation, Additional Documents (if applicable)"
First Self Marriage Expenses,"Implemented by MBOCWW, Labor Dept Maharashtra. Provides financial assistance for first marriage expenses of registered construction workers.","Financial assistance of ₹30,000",Applicant should be engaged in building/construction work; registered under MBOCWW,Offline: Download application form from MBOCWW website → Fill all mandatory fields → Submit to Labor Commissioner/Government Labor Officer → Get receipt/acknowledgment,"Passport-size Photo, Aadhaar Card, MBOCWW ID, Bank Passbook, Proof of Residence (Aadhaar/Passport/Driving Licence/Ration Sheet/Electricity Bill/Gram Panchayat Certificate), Marriage Certificate, Affidavit for First Marriage"
Vasantrao Naik Tanda / Basti Development Scheme,"Implemented by Social Justice & Special Assistance Dept., Maharashtra. Provides essential amenities to Tandas/Bastis of Vimukta Jatis & Nomadic Tribes, including water, electrification, latrines, drainage, and approach roads.","Admissible grant based on VJNT population: 51–100 → 4 Lakhs, 101–150 → 6 Lakhs, Above 151 → 10 Lakhs",Tanda/Basti must have ≥51 VJNT residents; lacking basic amenities; located in Maharashtra,Offline: Gram Panchayat representative submits detailed proposal to Block Development Officer → Receipt/acknowledgment → Proposal reviewed by BDO → Forwarded to District Social Welfare Officer → Committee evaluates and sanctions based on eligibility/resources,"Detailed Project Proposal, Gram Panchayat Resolution, Population Certificate, Land Ownership/Authorization Certificate, BDO Endorsement, Aadhaar Cards of Gram Panchayat Members, Maharashtra Domicile Certificate, Bank Account Details"
Reimbursement of the MS-CIT Course,"Launched by MBOCWW, Labour Dept Maharashtra. Provides reimbursement for MS-CIT course fees for up to two children of registered construction workers.",Reimbursement of MS-CIT course fees for up to two children,Parents/guardians must be registered construction workers; child enrolled in government-recognized MS-CIT course,Offline: Download application form from MBOCWW website → Fill → Submit to Labor Commissioner/Government Labor Officer → Get receipt/acknowledgment,"Passport-size Photo, Aadhaar Card, MBOCWW ID, Bank Passbook, MS-CIT Passed Certificate, Fee Receipt, Proof of Residence (Aadhaar/Passport/Driving Licence/Ration Sheet/Electricity Bill/Gram Panchayat Certificate)"
Dr. Panjabrao Deshmukh Hostel Maintenance Allowance,"Welfare scheme by Government of Maharashtra providing financial assistance for tuition fees, examination fees, and other related expenses to students from economically weaker sections.","Hostel maintenance allowance: Income <8 L → Mumbai/Pune/Nagpur/Aurangabad Rs.3000/year, others Rs.2000/year; For registered labourers Rs.30,000/year (Metro) & Rs.20,000/year (others)",Indian nationality; Maharashtra domicile; bonafide student of professional/technical course (Diploma/Graduation/Post Graduation); admitted through CAP; not receiving other scholarship; max 2 children per family; total annual family income ≤8 L; minimum 50% attendance; no course gap >2 years,Online: Register at https://mahadbt.maharashtra.gov.in → Login → Find eligible scheme → Apply for Dr. Panjabrao Deshmukh Hostel Maintenance Allowance,"Domicile Certificate, HSC & SSC Marksheet, Income Certificate of Parents, Previous Year Marksheet, Affidavit, Proof of Registered Labourer (if applicable), Aadhaar Card, Student PAN, Parents PAN"
LIDCOM Education Loan Scheme,"Implemented by Leather Industries Development Corporation (LIDCOM), Maharashtra. Provides education loans for post graduate students from Charmakar Community for studies in India and abroad.","Education Loan: Up to ₹10,00,000 for India, Up to ₹20,00,000 for abroad; Interest Rate: Male 4% p.a., Female 3.5% p.a.","Indian citizen; permanent resident of Maharashtra; from Charmakar Community (Dhor, Chambhar, Holar, Mochi etc.); age 18–50; family income ≤3,00,000; knowledge of intended business/field",Offline: Obtain application form from LIDCOM District Office → Fill and attach self-attested documents → Submit to District Office → Receive acknowledgment,"Aadhaar Card, 2 Passport Sized Photographs, Marksheet of Latest Qualification, Proof of Admission (Offer Letter), Residential/Domicile Certificate, Income Certificate, Caste Certificate, Bank Account Details, Previous Loan Statement (if any)"
Savitribai Phule Scholarship For V.J.N.T and S.B.C Girls Students Studying In 8th To 10th Std,"Scholarship by Social Justice & Special Assistance Dept., Maharashtra. Encourages enrollment and reduces dropout ratio of VJNT/SBC girls in 8th–10th standards.","₹100 per month for 10 months (₹1,000/year)",Girl student belonging to VJNT or SBC; studying in 8th–10th standard; no income/marks limit,Online: Visit https://mahadbt.maharashtra.gov.in → New Applicant Registration → Login → Link Aadhaar → Fill Profile → Apply for Savitribai Phule Scholarship → Submit → Save Application ID,"Aadhaar Number, Proof of Identity, Proof of Age (Birth Certificate), Proof of Address, Maharashtra Domicile Certificate, Caste Certificate (VJNT/SBC), Latest Marksheet, Current Course Fee Receipt, Bank Account Details, Passport-sized Photograph"
Financial Assistance to 75% or Permanent Disability,"Launched by MBOCWW, Labour Dept Maharashtra. Provides financial assistance to registered construction workers with 75% or more permanent disability (benefit after 26th July 2014).","Financial assistance of ₹2,00,000 to registered worker with 75% or more permanent disability.",Worker engaged in building/construction work; registered under MBOCWW; has 75% or permanent disability.,Offline: Download application form from MBOCWW → Fill and attach documents → Submit to Labor Commissioner/Government Labor Officer → Get receipt/acknowledgment.,"Passport-size Photo, Aadhaar Card, MBOCWW Identity Card, Bank Passbook, Disability Certificate (competent medical officer/board), Medical Treatment Payments, Proof of Residence (Aadhaar/Passport/Driving Licence/Ration Sheet/Electricity Bill/Gram Panchayat Certificate)"
Aam Aadmi Bima Yojana (Maharashtra),"Implemented by Social Justice & Special Assistance Dept., Maharashtra. Centrally Sponsored Scheme providing insurance and scholarship benefits to landless rural labourers aged 18–59 years. Annual premium ₹200 with 50% subsidy by State & Central Govt.","Natural Death: ₹30,000; Accidental Death: ₹75,000; Permanent Total Disability: ₹75,000; Loss of Two Eyes/Two Limbs: ₹75,000; Loss of One Eye/One Limb: ₹37,500; Scholarship: ₹100/month for up to 2 children (9th–12th standard).",Resident of Maharashtra; age 18–59; landless labourer; residing in rural area; family should not own agricultural land; not covered under other similar insurance.,Offline: Obtain application form from Office of Collector/Tahsildar/Talathi → Fill and attach documents → Submit within prescribed period → Get receipt/acknowledgment.,"Proof of Identity, Proof of Age, Address Proof, Certificate of Landlessness, Passport-sized Photographs, Income Certificate, Application Form, Self-Attestation, Additional Documents (if applicable)"
First Self Marriage Expenses,"Implemented by MBOCWW, Labour Dept Maharashtra. Provides financial assistance for first marriage expenses of registered construction workers.","Financial assistance of ₹30,000 for first marriage expenses.",Engaged in building/construction work; registered under MBOCWW.,Offline: Download application form from MBOCWW → Fill and attach documents → Submit to Labor Commissioner/Government Labor Officer → Get receipt/acknowledgment.,"Passport-size Photo, Aadhaar Card, MBOCWW Identity Card, Bank Passbook, Proof of Residence (Aadhaar/Passport/Driving Licence/Ration Sheet/Electricity Bill/Gram Panchayat Certificate), Marriage Certificate, Affidavit for First Marriage"
Vasantrao Naik Tanda/Basti Development Scheme,"Implemented by Dept. of Social Justice & Special Assistance, Maharashtra. Provides essential amenities to Tandas/Bastis of Vimukta Jatis and Nomadic Tribes (VJNT), improving access to drinking water, electrification, latrines, drainage, and approach roads.","Admissible grant based on population: 51–100 → ₹4 Lakhs, 101–150 → ₹6 Lakhs, Above 151 → ₹10 Lakhs.",Tanda/Basti with ≥51 VJNT residents; area lacking basic infrastructure; located in Maharashtra.,Offline: Gram Panchayat submits detailed proposal to Block Development Officer → Reviewed → Forwarded to District Social Welfare Officer → Evaluated by committee → Final sanction based on eligibility and resources.,"Detailed Project Proposal, Gram Panchayat Resolution, Population Certificate, Land Ownership/Authorization Certificate (if applicable), Endorsement from BDO, Aadhaar Cards of Gram Panchayat Members, Maharashtra domicile certificate, Bank Account Details"
Reimbursement of the MS-CIT Course,"Launched by MBOCWW, Labour Dept Maharashtra. Reimbursement of MS-CIT course fees for up to two children of registered construction workers.",Reimbursement of MS-CIT course fees for up to 2 children of registered construction workers.,Children’s parents/guardians should be registered construction workers; construction worker registered under MBOCWW; applicant enrolled in government-recognized MS-CIT course.,Offline: Download application form from MBOCWW → Fill and attach documents → Submit to Labor Commissioner/Government Labor Officer → Get receipt/acknowledgment.,"Passport-size Photo, Aadhaar Card, MBOCWW Identity Card, Bank Passbook, MS-CIT Passed Certificate, Fee Receipt, Proof of Residence (Aadhaar/Passport/Driving Licence/Ration Sheet/Electricity Bill/Gram Panchayat Certificate)"
Gopinath Munde Shetkari Apghat Suraksha Sanugrah Audhan Yojana,Provides compensation to farmers or their family members in case of accidents resulting in death or disability.,"Death: ₹2,00,000; Disablement: ₹1,00,000/₹2,00,000 depending on type (loss of limb/eye)",Registered farmers aged 10–75; person registered as farmer in Maharashtra evidenced by 7/12 extract; family member of registered farmer,Offline: Submit claim proposal with documents to Taluka Agriculture Officer within 30 days → Team visits and reports to Tehsildar within 8 days → Taluka Agriculture Officer scrutinizes and forwards → Committee decision within 30 days → Funds transferred via ECS,"7/12 Extract, Village form No. 6-D (Fer-far), Village form No. 6-C, Age proof (birth certificate/School leaving certificate), Death certificate, FIR, Inquest Report/Panchnama, Post-Mortem Report/Panchnama, Viscera Report, Disability Certificate"
